seed,stage,scene_map50,scene_map5095,locked_external_map50,locked_external_map5095,locked_external_precision,locked_external_recall,locked_external_f1,checkpoint
42,source_only,0.6131041693664864,0.5235022289297994,0.03426855843029784,0.01132281515829707,0.2448195710208966,0.09624951310024549,0.07368823597270094,<LOCAL_EXPERIMENT_PATH>
42,model2_balanced,0.663138153779513,0.5635382766620527,0.6652041726877534,0.45567252385119406,0.5869655470837699,0.7546305173165205,0.6127990677799082,<LOCAL_EXPERIMENT_PATH>
42,stage1_ssod_teacher,0.591748583505516,0.5051090471494896,0.6934302483208692,0.48186539486596147,0.5872500561849323,0.7785531478132036,0.6583754759765541,<LOCAL_EXPERIMENT_PATH>
42,stage2_refined,0.561886061221659,0.4617323481421319,0.6313366655809585,0.4313180485459469,0.5857952387119054,0.7084208998008115,0.6319324532148956,<LOCAL_EXPERIMENT_PATH>
2026,source_only,0.6095216607578781,0.519607369419014,0.016700345791257395,0.006446846692753689,0.09751826112016315,0.03887762435193265,0.04265338991873503,<LOCAL_EXPERIMENT_PATH>
2026,model2_balanced,0.6255496934631001,0.5338068073402226,0.7241548080983155,0.4857053476479183,0.6488657556694647,0.7636483537000859,0.6789957602906869,<LOCAL_EXPERIMENT_PATH>
2026,stage1_ssod_teacher,0.6532591029386009,0.5333382900166234,0.6385746223369462,0.4270999634168041,0.6703434504392096,0.6879119775829843,0.6249200646442152,<LOCAL_EXPERIMENT_PATH>
2026,stage2_refined,0.5634491600589635,0.47318439382806854,0.6776991911049115,0.4646194010100194,0.637436639351187,0.7436479083189151,0.6835503989713123,<LOCAL_EXPERIMENT_PATH>
3407,source_only,0.5525990361679446,0.46232367436623334,0.06058397816000187,0.021127305514919013,0.1496044501962094,0.14475183713442258,0.10425226486414484,<LOCAL_EXPERIMENT_PATH>
3407,model2_balanced,0.6491208339042854,0.5478020639582358,0.7026745096686734,0.4861343731206247,0.6020180085889876,0.7397425822646702,0.6408382272248668,<LOCAL_EXPERIMENT_PATH>
3407,stage1_ssod_teacher,0.5973555289373671,0.49907007639172285,0.6538364737360309,0.4295878210798173,0.5914072418170779,0.756857737705215,0.6336328015440454,<LOCAL_EXPERIMENT_PATH>
3407,stage2_refined,0.638140389225443,0.5350857291549731,0.7172359829580716,0.49757481047400065,0.665037779640872,0.7759348349472739,0.7073891342414904,<LOCAL_EXPERIMENT_PATH>


