stage,seed,images,coverage,top1_accuracy,macro_precision,macro_recall,macro_f1,checkpoint
source_only,42,95,1.0,0.49473684210526314,0.43177489177489176,0.490845118535219,0.3964517049821048,<LOCAL_EXPERIMENT_PATH>
source_only,2026,95,1.0,0.4105263157894737,0.4349951124144672,0.43200109312017493,0.36158730158730157,<LOCAL_EXPERIMENT_PATH>
source_only,3407,95,1.0,0.4842105263157895,0.313974358974359,0.3005533920885427,0.2859551372730159,<LOCAL_EXPERIMENT_PATH>
model2_balanced,42,95,1.0,0.5578947368421052,0.36805555555555564,0.3871285099405616,0.36406660412757974,<LOCAL_EXPERIMENT_PATH>
model2_balanced,2026,95,1.0,0.6105263157894737,0.44965104685942175,0.42795654847304776,0.39429130009775165,<LOCAL_EXPERIMENT_PATH>
model2_balanced,3407,95,1.0,0.631578947368421,0.6235632183908046,0.5602855776456923,0.5564775239498895,<LOCAL_EXPERIMENT_PATH>
strict_ssod,42,95,1.0,0.6105263157894737,0.37721739130434784,0.44175035868005735,0.3848397435897436,<LOCAL_EXPERIMENT_PATH>
strict_ssod,2026,95,1.0,0.6736842105263158,0.45182647300101336,0.4740315638450502,0.4435761957730812,<LOCAL_EXPERIMENT_PATH>
strict_ssod,3407,95,1.0,0.6210526315789474,0.3753132832080201,0.4194097151055544,0.38586072817249917,<LOCAL_EXPERIMENT_PATH>


